id,name_zh,name_en,index_year,cluster,dynasty_zh,bureau_type,bureau_zh,is_high_official,has_civil_exam,has_yin_privilege,has_recommendation,has_technical_exam,has_geo,x_coord,y_coord,addr_name_chn,bureau_astronomical,bureau_medical,bureau_hydraulic,bureau_military_industrial,bureau_construction,degree,clustering,eigenvector,betweenness,degree_z,clustering_z,eigenvector_z,betweenness_z,x_coord_z,y_coord_z
54245,彭蘊章,Peng Yunzhang,1792,cluster3_qing_after,清,works_general,工部,0,1,0,0,0,1,120.618622,31.31271,長洲,0,0,0,0,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,1.0097376552322135,-0.1345586268557452
54246,陳法,Chen Fa,1696,cluster3_qing_after,清,hydraulic,水利/河道,0,1,0,0,0,1,115.51057434,38.23052597,安平,0,0,1,0,0,2,0.0,9.25409061140711e-14,0.0001713367656093867,-0.42161268581297245,-0.9387205953692331,-0.38867530354999685,-0.023315457335636176,-0.1311782962311586,1.8114003544213872
54673,曹秀先,Cao Xiuxian,1708,cluster3_qing_after,清,works_general,工部,0,1,0,0,0,1,115.89772034,28.67489624,新建,0,0,0,0,0,4,1.0,4.273335402005711e-09,0.0,-0.3765957911692267,1.5173807213961439,-0.3886750498142492,-0.15247069472655322,-0.04470669761940243,-0.8765670005200132
54763,李星沅,Li Xingyuan,1797,cluster3_qing_after,清,hydraulic,水利/河道,0,1,0,0,0,1,112.8802948,28.676210403,湘陰,0,0,1,0,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,-0.7186684849961057,-0.8761973307710922
54942,范允臨,Fan Yunlin,1565,cluster2_yuan_ming,明,works_general,工部,0,1,0,0,0,1,120.618622,31.31271,吳縣,0,0,0,0,0,79,0.4157740993184031,0.023918110825792534,0.018283819464485655,1.3115377579712393,0.08246271744363531,1.031529428336266,13.630041394546492,1.0097376552322135,-0.1345586268557452
54953,傅嘉年,Fu Jianian,1849,cluster3_qing_after,中華民國,hydraulic,水利/河道,0,1,0,0,0,1,118.32378387,27.038864136,建安,0,0,1,0,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,0.4971705057425824,-1.3367774744966026
54993,錢維城,Qian Weicheng,1720,cluster3_qing_after,清,works_general,工部,0,1,0,0,0,1,119.95230103,31.782783508,武進,0,0,0,0,0,10,0.7333333333333333,1.753543432844725e-07,0.00011379829954653272,-0.24154510723798941,0.8624203702587098,-0.3886648914008736,-0.06668848481766074,0.8609104958028614,-0.002328488222402521
54996,方以智,Fang Yizhi,1611,cluster2_yuan_ming,清,works_general,工部,0,1,0,0,0,1,116.938606,31.05228,桐城,0,0,0,0,0,14,0.6593406593406593,2.925591704827263e-05,0.00017658403549720197,-0.15151131795049788,0.6806868662343121,-0.38693815164870377,-0.019360016799539914,0.18778194230520337,-0.20781673312682059
55080,完顏留保,Wanyan Liubao,1686,cluster3_qing_after,清,works_general,工部,0,1,0,0,0,0,,,,0,0,0,0,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,-3.174087617753835e-15,-1.9987334503111837e-15
55216,林壽圖,Lin Shoutu,1822,cluster3_qing_after,清,works_general,工部,0,1,0,0,0,1,119.32157898,26.073953629,閩縣,0,0,0,0,0,1,0.0,1.1545008859761407e-30,0.0,-0.44412113313484536,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,0.7200345886691597,-1.6082036406982059
55233,田雯,Tian Wen,1635,cluster2_yuan_ming,清,construction,将作/营缮,0,1,0,0,0,1,116.28740692,37.451641083,德州,0,0,0,0,1,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,0.04233235620046635,1.5923025860199707
55631,潘祖蔭,Pan Zuyin,1830,cluster3_qing_after,清,works_general,工部,0,1,0,0,0,1,120.618622,31.31271,吳縣,0,0,0,0,0,5,0.1,3.6517169019351074e-30,4.466473374714146e-06,-0.3540873438473538,-0.6931104636926954,-0.3886753035554917,-0.1491038258180636,1.0097376552322135,-0.1345586268557452
