mpnet_id,id,name_zh,cluster,degree,betweenness,clustering,eigenvector,cluster1_song_and_before,cluster2_yuan_ming,cluster3_qing_after
691,13990,張攀,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
692,14043,章岷,cluster1_song_and_before,131,0.00025716319913603706,0.5765120375807399,0.06350590409098235,1,0,0
693,14045,章峴,cluster1_song_and_before,1,0.0,0.0,3.7056323637843556e-36,1,0,0
694,14074,章友直,cluster1_song_and_before,128,8.219824389722689e-05,0.6568651574803149,0.06750767676898933,1,0,0
695,14103,章穎,cluster1_song_and_before,97,0.0003213150153011859,0.4733676975945017,0.031676576237846116,1,0,0
696,14207,陳知章,cluster1_song_and_before,1,0.0,0.0,0.00021737136526491708,1,0,0
697,14209,陳知雄,cluster1_song_and_before,30,1.1942545101066424e-06,0.8758620689655172,0.013245767761894974,1,0,0
698,14215,阮逸,cluster1_song_and_before,5,1.6608680068496766e-07,0.3,0.002068373322727772,1,0,0
699,14223,陳知言,cluster1_song_and_before,4,0.0,1.0,0.0019908582005232767,1,0,0
700,14224,陳知愚,cluster1_song_and_before,6,0.0,1.0,0.0018215667075644239,1,0,0
701,14301,陳粹父,cluster1_song_and_before,4,9.62502312044159e-07,0.8333333333333334,0.001919754691296934,1,0,0
702,14310,种放,cluster1_song_and_before,17,1.4797839388210142e-05,0.39705882352941174,0.006516334229969261,1,0,0
703,14386,陳漢卿,cluster1_song_and_before,78,0.0,1.0,0.047176652195951005,1,0,0
704,14440,傅凝,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
705,14445,李縝,cluster1_song_and_before,76,3.9086718411498454e-05,0.6607017543859649,0.025669227182174906,1,0,0
706,14650,趙子皓,cluster1_song_and_before,25,0.0,1.0,0.009809530742654199,1,0,0
707,14696,錢昱,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
708,14704,慎知禮,cluster1_song_and_before,1,0.0,0.0,0.00041220877512529604,1,0,0
709,14821,趙時侃,cluster1_song_and_before,14,1.933543923732984e-06,0.8021978021978022,0.004708279233118675,1,0,0
