source,target,weight
128,948,1
128,1063,1
128,1089,1
128,1107,1
128,1136,1
128,1144,1
128,1163,1
128,1183,1
128,1201,1
128,1316,1
128,1388,2
128,1414,1
128,1488,3
128,1496,1
128,1558,1
128,1634,1
128,1730,2
128,1762,2
128,1807,1
128,1813,1
128,1847,1
128,1852,1
128,1872,1
128,1877,1
128,1884,1
128,1908,1
128,1932,1
128,1955,1
128,1996,1
128,2022,2
128,2074,1
128,3107,1
128,3114,1
128,3321,1
128,3325,1
128,3364,1
128,4153,1
128,7358,1
128,8071,1
128,8104,1
128,8116,2
128,8153,1
128,10565,2
128,10566,1
128,10759,1
128,11247,1
128,11450,1
128,11701,1
128,13279,1
128,13477,1
128,13583,1
128,13972,1
128,14103,1
128,14445,1
128,15316,1
128,15751,1
128,15773,1
128,17724,1
128,17730,1
128,17743,1
128,19123,1
128,19699,3
128,19806,1
128,21482,1
128,22000,1
128,22849,1
128,26611,1
128,27041,1
128,27761,1
128,40396,1
128,42063,1
128,43094,1
128,52545,1
128,62505,1
128,67733,1
128,67777,1
128,129408,1
128,132008,1
145,150,1
145,174,1
145,211,2
145,217,3
145,245,1
145,252,1
145,267,1
145,310,1
145,332,2
145,345,1
145,373,1
145,375,4
145,405,2
145,559,2
145,561,1
145,562,2
145,586,1
145,628,5
145,629,1
145,630,3
145,634,1
145,636,1
145,664,1
145,718,1
145,728,2
145,770,1
145,843,1
145,911,1
145,941,2
145,944,1
145,962,1
145,964,1
145,971,3
145,1024,1
145,1048,1
145,1063,1
145,1092,1
145,1107,1
145,1195,2
145,1201,2
145,1236,1
145,1243,1
145,1306,1
145,1309,3
145,1314,3
145,1316,1
145,1326,1
145,1349,1
145,1361,1
145,1388,1
145,1391,1
145,1408,1
145,1414,2
145,1443,1
145,1448,1
145,1450,1
145,1453,2
145,1486,1
145,1488,5
145,1489,1
145,1491,1
145,1531,1
145,1555,2
145,1558,2
145,1571,1
145,1615,1
145,1617,1
145,1635,2
145,1661,1
145,1668,1
145,1719,1
145,1722,1
145,1730,3
145,1762,2
145,1789,1
145,1821,1
145,1828,1
145,1840,1
145,1844,1
145,1847,1
145,1881,1
145,1955,1
145,1957,1
145,2007,2
145,2022,1
145,2026,1
145,2032,1
145,2036,1
145,2112,1
145,3013,1
145,3307,1
145,3364,1
145,3484,3
145,3502,1
145,3505,1
145,3522,1
145,3591,1
145,3718,1
145,3739,1
145,3933,1
145,3941,1
145,3997,1
145,4001,3
145,7053,2
145,7059,1
145,7070,1
145,7097,1
145,7099,1
145,7126,1
145,7239,1
145,7240,1
145,7308,2
145,7323,1
145,8006,2
145,8016,1
145,8033,1
145,8090,1
145,8109,1
145,8116,4
145,8153,1
145,10178,1
145,10226,1
145,10565,2
145,10566,2
145,11135,1
145,11247,1
145,11337,1
145,12025,1
145,12134,1
145,12319,2
145,13105,1
145,13279,1
145,13378,1
145,13477,1
145,13612,1
145,13940,1
145,14074,2
145,14103,1
145,16173,1
145,16302,1
145,16667,2
145,16783,1
145,17517,2
145,18268,1
145,18588,1
145,18644,1
145,19123,1
145,19597,1
145,19611,1
145,19699,3
145,20849,1
145,21429,1
145,21796,1
145,22199,1
145,22403,1
145,22849,1
145,25459,1
145,26611,1
145,27078,1
145,27761,1
145,27762,1
145,35616,1
145,40169,1
145,42396,1
145,44372,1
145,45682,1
145,45771,1
145,50807,1
145,50850,1
150,174,2
150,211,3
150,217,1
150,375,2
150,405,1
150,559,1
150,628,2
150,630,1
150,667,1
150,805,1
150,853,1
150,1063,1
150,1107,1
150,1183,1
150,1201,1
150,1364,1
150,1366,1
150,1369,1
150,1388,1
150,1450,1
150,1488,2
150,1668,1
150,1730,2
150,1762,2
150,1767,1
150,1804,1
150,1924,1
150,1932,1
150,1955,1
150,2022,1
150,2058,1
150,2112,1
150,3033,3
150,3364,1
150,3615,1
150,3718,1
150,3933,1
150,4001,1
150,4043,1
150,7179,1
150,8093,1
150,10565,1
150,10566,2
150,10831,1
150,11450,1
150,12319,1
150,13477,1
150,14103,1
150,14903,1
150,16720,1
150,19123,1
150,19424,1
150,19699,2
150,19915,1
150,19947,1
150,21482,1
150,24956,1
150,25535,1
150,27761,1
150,30231,1
150,42063,1
150,42321,1
150,42790,1
150,43094,2
150,43110,1
152,283,1
152,345,1
152,805,1
152,944,1
152,1144,1
152,1178,1
152,1309,2
152,1388,1
152,1488,1
152,1762,2
152,1840,1
152,2032,1
152,3364,1
152,3501,1
152,7397,1
152,8075,1
152,8160,1
152,10231,1
152,11372,1
152,12013,1
152,16701,1
152,18946,1
152,21561,1
152,47457,1
168,7365,1
171,211,1
172,267,1
172,375,1
172,1086,1
172,1453,1
172,1531,1
172,1555,1
172,1571,1
172,1617,1
172,1730,1
172,1762,1
172,1835,1
172,3374,1
172,3590,1
172,7121,1
172,7288,1
172,7323,1
172,14043,1
172,15849,1
172,16667,1
172,22865,1
172,27078,1
172,37916,1
172,40408,1
172,42415,1
172,42652,1
172,47517,1
174,211,7
174,217,2
174,252,3
174,310,1
174,334,1
174,373,1
174,375,4
174,380,1
174,405,2
174,456,1
174,559,4
174,628,4
174,630,3
174,667,1
174,793,1
174,805,1
174,826,1
174,843,2
174,853,1
174,859,2
174,941,1
174,944,1
174,948,1
174,1004,1
174,1089,1
174,1136,1
174,1144,1
174,1163,1
174,1183,2
174,1195,1
174,1230,1
174,1237,1
174,1243,2
174,1309,1
174,1314,3
174,1364,1
174,1366,2
174,1369,1
174,1388,2
174,1391,1
174,1448,1
